region,newusers,totalusers,conversions,property_id,totalrevenue,engagementrate,engagedsessions,date
(not set),1,2,0,353783484,0,0.5,1,30/06/23
Alabama,1,2,0,353783484,0,0.5,1,30/06/23
Alberta,8,8,0,353783484,0,0.777777778,7,30/06/23
Arkansas,3,3,0,353783484,0,0.666666667,2,30/06/23
British Columbia,16,16,0,353783484,0,0.764705882,13,30/06/23
California,12,12,0,353783484,0,0.833333333,10,30/06/23
Colorado,1,1,0,353783484,0,1,1,30/06/23
Davao Region,1,1,0,353783484,0,1,1,30/06/23
England,17,17,0,353783484,0,0.631578947,12,30/06/23
Florida,9,9,0,353783484,0,0.444444444,4,30/06/23
Georgia,4,5,0,353783484,0,0.4,2,30/06/23
Groningen,1,1,0,353783484,0,0,0,30/06/23
Gujarat,1,1,0,353783484,0,1,1,30/06/23
Hawke's Bay,1,1,0,353783484,0,0.5,1,30/06/23
Illinois,4,4,0,353783484,0,1,4,30/06/23
Indiana,4,6,0,353783484,0,0.333333333,2,30/06/23
Jammu and Kashmir,1,1,0,353783484,0,1,1,30/06/23
Louisiana,1,1,0,353783484,0,1,1,30/06/23
Maine,1,1,0,353783484,0,0,0,30/06/23
Malacca,1,1,0,353783484,0,1,1,30/06/23
Maryland,1,1,0,353783484,0,0,0,30/06/23
Massachusetts,2,3,0,353783484,0,0.333333333,1,30/06/23
Metro Manila,1,1,0,353783484,0,0,0,30/06/23
Michigan,5,5,0,353783484,0,0.4,2,30/06/23
Minnesota,1,1,0,353783484,0,0,0,30/06/23
Mississippi,1,1,0,353783484,0,1,1,30/06/23
Missouri,1,1,0,353783484,0,1,2,30/06/23
Nakhon Ratchasima,1,1,0,353783484,0,1,1,30/06/23
Nevada,4,4,0,353783484,0,0.75,3,30/06/23
New Brunswick,1,1,0,353783484,0,1,1,30/06/23
New Jersey,2,2,0,353783484,0,0.5,1,30/06/23
New Mexico,1,1,0,353783484,0,1,1,30/06/23
New Providence,1,1,0,353783484,0,0,0,30/06/23
New York,5,6,0,353783484,0,0.5,3,30/06/23
North Carolina,4,4,0,353783484,0,0.8,4,30/06/23
North Dakota,1,1,0,353783484,0,1,1,30/06/23
Northern Mindanao,1,1,0,353783484,0,1,1,30/06/23
Nova Scotia,3,3,0,353783484,0,0.666666667,2,30/06/23
Ohio,1,1,0,353783484,0,1,1,30/06/23
Oklahoma,2,2,0,353783484,0,1,2,30/06/23
Ontario,187,193,0,353783484,0,0.623255814,134,30/06/23
Oregon,3,3,0,353783484,0,0.666666667,2,30/06/23
Pennsylvania,5,5,0,353783484,0,0.4,2,30/06/23
Quebec,42,46,0,353783484,0,0.551020408,27,30/06/23
Rhode Island,1,1,0,353783484,0,1,1,30/06/23
Scotland,2,2,0,353783484,0,1,2,30/06/23
South Australia,1,1,0,353783484,0,1,1,30/06/23
South Carolina,3,3,0,353783484,0,0.666666667,2,30/06/23
Tennessee,1,1,0,353783484,0,1,1,30/06/23
Texas,14,14,0,353783484,0,0.714285714,10,30/06/23
Utah,2,2,0,353783484,0,0.5,1,30/06/23
Victoria,1,1,0,353783484,0,0,0,30/06/23
Virginia,7,7,0,353783484,0,0.714285714,5,30/06/23
Wales,1,1,0,353783484,0,1,1,30/06/23
Washington,1,1,0,353783484,0,1,1,30/06/23
Wellington,1,1,0,353783484,0,1,1,30/06/23
West Bengal,1,1,0,353783484,0,0,0,30/06/23
West Virginia,1,1,0,353783484,0,1,1,30/06/23
Wisconsin,1,1,0,353783484,0,0,0,30/06/23
(not set),2,2,0,353783484,0,1,2,01/07/23
Alberta,12,12,0,353783484,0,0.571428571,8,01/07/23
Amman Governorate,1,1,0,353783484,0,0,0,01/07/23
Arkansas,3,4,0,353783484,0,0,0,01/07/23
Auckland,2,2,0,353783484,0,1,2,01/07/23
Australian Capital Territory,1,1,0,353783484,0,0,0,01/07/23
Bangkok,1,1,0,353783484,0,1,1,01/07/23
British Columbia,17,19,0,353783484,0,0.571428571,12,01/07/23
Buenos Aires Province,1,1,0,353783484,0,1,1,01/07/23
California,15,15,0,353783484,0,0.5625,9,01/07/23
Colorado,2,2,0,353783484,0,0.5,1,01/07/23
County Dublin,2,2,0,353783484,0,0,0,01/07/23
County Galway,1,1,0,353783484,0,1,1,01/07/23
Delaware,1,1,0,353783484,0,0,0,01/07/23
England,33,33,0,353783484,0,0.794117647,27,01/07/23
Florida,13,13,0,353783484,0,0.5,7,01/07/23
Fukui,1,1,0,353783484,0,1,1,01/07/23
Georgia,9,10,0,353783484,0,0.5,5,01/07/23
Groningen,1,1,0,353783484,0,1,1,01/07/23
Gujarat,0,1,0,353783484,0,0,0,01/07/23
Hawaii,2,2,0,353783484,0,0.666666667,2,01/07/23
Hawke's Bay,1,1,0,353783484,0,1,1,01/07/23
Illinois,7,7,0,353783484,0,0.857142857,6,01/07/23
Indiana,5,5,0,353783484,0,0.8,4,01/07/23
Iowa,1,1,0,353783484,0,1,1,01/07/23
Kentucky,1,1,0,353783484,0,0,0,01/07/23
Kerala,1,1,0,353783484,0,0,0,01/07/23
Lagos,1,1,0,353783484,0,1,1,01/07/23
Limpopo,1,1,0,353783484,0,1,1,01/07/23
Maharashtra,1,1,0,353783484,0,0,0,01/07/23
Maine,1,1,0,353783484,0,0,0,01/07/23
Manawatu-Wanganui,1,1,0,353783484,0,1,1,01/07/23
Manitoba,1,1,0,353783484,0,0,0,01/07/23
Maryland,3,3,0,353783484,0,0.666666667,2,01/07/23
Massachusetts,4,4,0,353783484,0,0.25,1,01/07/23
Michigan,5,5,0,353783484,0,0.8,4,01/07/23
Minnesota,1,1,0,353783484,0,1,1,01/07/23
Montana,1,1,0,353783484,0,0,0,01/07/23
Nairobi County,1,1,0,353783484,0,0,0,01/07/23
Nevada,2,2,0,353783484,0,0,0,01/07/23
New Hampshire,1,1,0,353783484,0,0,0,01/07/23
New Jersey,3,3,0,353783484,0,0.666666667,2,01/07/23
New Mexico,1,1,0,353783484,0,1,1,01/07/23
New South Wales,4,4,0,353783484,0,1,4,01/07/23
New York,7,9,0,353783484,0,0.444444444,4,01/07/23
North Brabant,1,1,0,353783484,0,1,1,01/07/23
North Carolina,4,4,0,353783484,0,0.75,3,01/07/23
Northern Ireland,1,2,0,353783484,0,0.5,1,01/07/23
Nova Scotia,4,4,0,353783484,0,1,4,01/07/23
Odisha,3,3,0,353783484,0,0.75,3,01/07/23
Ohio,6,6,0,353783484,0,0.5,3,01/07/23
Oklahoma,3,3,0,353783484,0,0.333333333,1,01/07/23
Ontario,147,162,0,353783484,0,0.598901099,109,01/07/23
Oregon,3,3,0,353783484,0,0.666666667,2,01/07/23
Osun,1,1,0,353783484,0,1,1,01/07/23
Pennsylvania,4,4,0,353783484,0,0.5,2,01/07/23
Perak,1,1,0,353783484,0,0,0,01/07/23
Punjab,1,1,0,353783484,0,0,0,01/07/23
Quebec,26,31,0,353783484,0,0.612903226,19,01/07/23
Queensland,1,1,0,353783484,0,1,1,01/07/23
Saskatchewan,1,1,0,353783484,0,0,0,01/07/23
Scotland,1,2,0,353783484,0,0.5,1,01/07/23
South Carolina,1,2,0,353783484,0,0.5,1,01/07/23
South District,1,1,0,353783484,0,1,2,01/07/23
Tamil Nadu,1,1,0,353783484,0,0,0,01/07/23
Tbilisi,1,1,0,353783484,0,1,1,01/07/23
Tennessee,2,2,0,353783484,0,1,2,01/07/23
Texas,10,10,0,353783484,0,0.5,5,01/07/23
Utah,3,3,0,353783484,0,0.666666667,2,01/07/23
Varna,1,1,0,353783484,0,1,1,01/07/23
Victoria,4,4,0,353783484,0,0.75,3,01/07/23
Virginia,4,4,0,353783484,0,0.6,3,01/07/23
Wales,3,4,0,353783484,0,0.75,3,01/07/23
Washington,1,2,0,353783484,0,0,0,01/07/23
West Virginia,2,3,0,353783484,0,0.666666667,2,01/07/23
Western Australia,2,2,0,353783484,0,1,2,01/07/23
Western Cape,1,1,0,353783484,0,0,0,01/07/23
Wisconsin,1,1,0,353783484,0,1,1,01/07/23
Zurich,1,1,0,353783484,0,1,1,01/07/23
(not set),6,6,0,353783484,0,0.833333333,5,02/07/23
Alabama,1,1,0,353783484,0,1,1,02/07/23
Alberta,15,15,0,353783484,0,0.8125,13,02/07/23
Arizona,1,1,0,353783484,0,1,1,02/07/23
Attica,1,1,0,353783484,0,0,0,02/07/23
Bavaria,1,1,0,353783484,0,1,1,02/07/23
British Columbia,8,8,0,353783484,0,0.75,6,02/07/23
Bucharest,1,1,0,353783484,0,1,1,02/07/23
California,9,10,0,353783484,0,0.454545455,5,02/07/23
Central Luzon,1,1,0,353783484,0,0,0,02/07/23
Colorado,2,2,0,353783484,0,0.5,1,02/07/23
Connecticut,1,2,0,353783484,0,0.5,1,02/07/23
County Dublin,1,1,0,353783484,0,1,1,02/07/23
Delhi,1,1,0,353783484,0,0,0,02/07/23
District of Columbia,2,2,0,353783484,0,0.333333333,1,02/07/23
England,33,34,0,353783484,0,0.694444444,25,02/07/23
Federal Capital Territory,1,1,0,353783484,0,0,0,02/07/23
Flanders,1,1,0,353783484,0,1,1,02/07/23
Florida,10,12,0,353783484,0,0.5,6,02/07/23
Gangwon-do,1,1,0,353783484,0,0,0,02/07/23
Georgia,9,9,0,353783484,0,0.7,7,02/07/23
Gujarat,1,1,0,353783484,0,1,1,02/07/23
Harju County,1,1,0,353783484,0,1,1,02/07/23
Hawaii,1,1,0,353783484,0,0,0,02/07/23
Illinois,13,13,0,353783484,0,0.769230769,10,02/07/23
Indiana,5,5,0,353783484,0,0.8,4,02/07/23
Iowa,1,1,0,353783484,0,1,1,02/07/23
Johor,1,1,0,353783484,0,1,1,02/07/23
Kansas,5,5,0,353783484,0,0.4,2,02/07/23
Ljubljana,1,1,0,353783484,0,1,1,02/07/23
Louisiana,1,1,0,353783484,0,1,1,02/07/23
Maharashtra,1,1,0,353783484,0,0.5,1,02/07/23
Manawatu-Wanganui,1,1,0,353783484,0,1,1,02/07/23
Manitoba,1,1,0,353783484,0,1,1,02/07/23
Maryland,6,6,0,353783484,0,0.5,3,02/07/23
Massachusetts,1,1,0,353783484,0,1,1,02/07/23
Michigan,4,4,0,353783484,0,0.75,3,02/07/23
Minnesota,2,2,0,353783484,0,0.5,1,02/07/23
Mississippi,1,1,0,353783484,0,0,0,02/07/23
Nebraska,1,1,0,353783484,0,1,1,02/07/23
Nevada,1,1,0,353783484,0,1,1,02/07/23
New Brunswick,2,3,0,353783484,0,0.333333333,1,02/07/23
New Hampshire,1,1,0,353783484,0,1,1,02/07/23
New Jersey,4,5,0,353783484,0,0.2,1,02/07/23
New Mexico,2,2,0,353783484,0,0,0,02/07/23
New South Wales,5,5,0,353783484,0,0.666666667,4,02/07/23
New York,7,7,0,353783484,0,1,7,02/07/23
Nitra Region,1,1,0,353783484,0,1,1,02/07/23
North Brabant,1,1,0,353783484,0,1,1,02/07/23
North Carolina,9,10,0,353783484,0,0.4,4,02/07/23
Northern Ireland,1,1,0,353783484,0,1,1,02/07/23
Nova Scotia,4,5,0,353783484,0,0.166666667,1,02/07/23
Ohio,9,9,0,353783484,0,0.111111111,1,02/07/23
Oklahoma,3,3,0,353783484,0,0.666666667,2,02/07/23
Ontario,169,180,0,353783484,0,0.710659898,140,02/07/23
Oregon,1,1,0,353783484,0,0,0,02/07/23
Pennsylvania,2,3,0,353783484,0,0.333333333,1,02/07/23
Prince Edward Island,1,1,0,353783484,0,1,1,02/07/23
Princes Town Regional Corporation,1,1,0,353783484,0,1,1,02/07/23
Punjab,1,1,0,353783484,0,0,0,02/07/23
Quebec,25,31,0,353783484,0,0.529411765,18,02/07/23
Queensland,1,1,0,353783484,0,1,1,02/07/23
Saskatchewan,4,4,0,353783484,0,0.5,2,02/07/23
Scotland,2,3,0,353783484,0,0.333333333,1,02/07/23
South Carolina,1,1,0,353783484,0,1,1,02/07/23
South Holland,2,2,0,353783484,0,0.5,2,02/07/23
Stockholm County,1,1,0,353783484,0,0,0,02/07/23
Sylhet Division,1,1,0,353783484,0,0,0,02/07/23
Tennessee,5,5,0,353783484,0,0.6,3,02/07/23
Texas,7,7,0,353783484,0,1,7,02/07/23
Tianjin,1,1,0,353783484,0,1,1,02/07/23
Uttar Pradesh,1,1,0,353783484,0,1,1,02/07/23
Uttarakhand,1,1,0,353783484,0,1,1,02/07/23
Victoria,3,3,0,353783484,0,0.666666667,2,02/07/23
Vilnius County,1,1,0,353783484,0,1,1,02/07/23
Virginia,7,7,0,353783484,0,0.857142857,6,02/07/23
Wales,1,1,0,353783484,0,1,1,02/07/23
Washington,7,8,0,353783484,0,0.375,3,02/07/23
West Pomeranian Voivodeship,1,1,0,353783484,0,1,1,02/07/23
Wisconsin,5,5,0,353783484,0,0.6,3,02/07/23
(not set),11,12,0,353783484,0,0.357142857,5,03/07/23
Alberta,16,17,0,353783484,0,0.764705882,13,03/07/23
Arizona,3,3,0,353783484,0,0.75,3,03/07/23
Arkansas,0,1,0,353783484,0,0,0,03/07/23
Auckland,1,1,0,353783484,0,1,1,03/07/23
Bay of Plenty,1,1,0,353783484,0,1,1,03/07/23
Beijing,1,1,0,353783484,0,0,0,03/07/23
British Columbia,22,23,0,353783484,0,0.666666667,16,03/07/23
Bucharest,1,1,0,353783484,0,1,1,03/07/23
Busan,0,1,0,353783484,0,0,0,03/07/23
California,9,10,0,353783484,0,0.666666667,8,03/07/23
Campania,1,1,0,353783484,0,1,1,03/07/23
Capital Region of Denmark,1,1,0,353783484,0,0,0,03/07/23
Catalonia,1,1,0,353783484,0,1,1,03/07/23
Colorado,2,2,0,353783484,0,0.5,1,03/07/23
County Dublin,2,2,0,353783484,0,0,0,03/07/23
County Kildare,1,1,0,353783484,0,0,0,03/07/23
Delaware,1,1,0,353783484,0,0,0,03/07/23
England,25,25,0,353783484,0,0.653846154,17,03/07/23
Federal Capital Territory,1,1,0,353783484,0,1,1,03/07/23
Florida,18,18,0,353783484,0,0.571428571,12,03/07/23
Gauteng,3,3,0,353783484,0,0.25,1,03/07/23
Georgia,4,4,0,353783484,0,0.25,1,03/07/23
Groningen,1,1,0,353783484,0,0,0,03/07/23
Gujarat,1,1,0,353783484,0,0.5,1,03/07/23
Haryana,1,1,0,353783484,0,1,1,03/07/23
Ile-de-France,1,1,0,353783484,0,1,1,03/07/23
Illinois,5,6,0,353783484,0,0.166666667,1,03/07/23
Indiana,0,1,0,353783484,0,0,0,03/07/23
Iowa,2,2,0,353783484,0,0.5,1,03/07/23
Kansas,2,3,0,353783484,0,0.333333333,1,03/07/23
Kentucky,2,2,0,353783484,0,1,2,03/07/23
Lisbon,1,1,0,353783484,0,0,0,03/07/23
Louisiana,1,1,0,353783484,0,1,1,03/07/23
Madhya Pradesh,1,1,0,353783484,0,1,1,03/07/23
Maine,1,1,0,353783484,0,1,1,03/07/23
Manitoba,1,1,0,353783484,0,1,1,03/07/23
Massachusetts,4,4,0,353783484,0,0.25,1,03/07/23
Michigan,6,7,0,353783484,0,0.857142857,6,03/07/23
Minnesota,1,1,0,353783484,0,1,1,03/07/23
Mississippi,1,1,0,353783484,0,1,1,03/07/23
Missouri,2,2,0,353783484,0,0.5,1,03/07/23
Montana,1,1,0,353783484,0,1,1,03/07/23
Nairobi County,1,1,0,353783484,0,0,0,03/07/23
Nebraska,2,2,0,353783484,0,1,2,03/07/23
Nevada,1,1,0,353783484,0,1,1,03/07/23
New Brunswick,5,5,0,353783484,0,0.6,3,03/07/23
New Hampshire,2,2,0,353783484,0,0.333333333,1,03/07/23
New Jersey,1,2,0,353783484,0,0,0,03/07/23
New Providence,0,1,0,353783484,0,1,1,03/07/23
New South Wales,3,3,0,353783484,0,0.666666667,2,03/07/23
New York,7,7,0,353783484,0,0.714285714,5,03/07/23
Newfoundland and Labrador,2,2,0,353783484,0,0.5,1,03/07/23
North Carolina,9,9,0,353783484,0,0.555555556,5,03/07/23
North Rhine-Westphalia,1,1,0,353783484,0,1,1,03/07/23
Nova Scotia,10,10,0,353783484,0,0.454545455,5,03/07/23
Odisha,1,1,0,353783484,0,0.5,1,03/07/23
Ohio,11,11,0,353783484,0,0.545454545,6,03/07/23
Oklahoma,1,1,0,353783484,0,0,0,03/07/23
Ontario,230,255,0,353783484,0,0.64874552,181,03/07/23
Oregon,5,5,0,353783484,0,0.8,4,03/07/23
Otjozondjupa Region,1,1,0,353783484,0,1,1,03/07/23
Pennsylvania,5,5,0,353783484,0,0.8,4,03/07/23
Pichincha,1,1,0,353783484,0,0,0,03/07/23
Punjab,1,1,0,353783484,0,0,0,03/07/23
Quebec,48,53,0,353783484,0,0.648148148,35,03/07/23
Queensland,1,1,0,353783484,0,1,1,03/07/23
Rhode Island,1,1,0,353783484,0,1,1,03/07/23
Saint Peter Port,1,1,0,353783484,0,1,1,03/07/23
Scotland,1,1,0,353783484,0,1,1,03/07/23
Sofia City Province,1,1,0,353783484,0,1,1,03/07/23
South Carolina,2,2,0,353783484,0,1,2,03/07/23
South Dakota,2,2,0,353783484,0,0.5,1,03/07/23
State of Santa Catarina,1,1,0,353783484,0,0.333333333,1,03/07/23
Stockholm County,1,1,0,353783484,0,0,0,03/07/23
Tamil Nadu,1,1,0,353783484,0,1,1,03/07/23
Tartu County,1,1,0,353783484,0,0,0,03/07/23
Tasmania,1,1,0,353783484,0,0,0,03/07/23
Telangana,3,3,0,353783484,0,0.333333333,1,03/07/23
Tennessee,4,5,0,353783484,0,0.6,3,03/07/23
Texas,9,10,0,353783484,0,0.8,8,03/07/23
Victoria,6,6,0,353783484,0,0.833333333,5,03/07/23
Vienna,1,1,0,353783484,0,0,0,03/07/23
Virginia,6,6,0,353783484,0,0.571428571,4,03/07/23
Waikato,1,1,0,353783484,0,1,1,03/07/23
Washington,5,5,0,353783484,0,0.8,4,03/07/23
West Bengal,6,6,0,353783484,0,0.666666667,6,03/07/23
West Virginia,2,2,0,353783484,0,1,2,03/07/23
Western Cape,1,1,0,353783484,0,1,1,03/07/23
Wisconsin,3,3,0,353783484,0,0.666666667,2,03/07/23
(not set),8,8,0,353783484,0,0.5,4,04/07/23
Alberta,15,16,0,353783484,0,0.588235294,10,04/07/23
Arizona,2,2,0,353783484,0,0.5,1,04/07/23
Auckland,3,3,0,353783484,0,0.666666667,2,04/07/23
Bay of Plenty,1,1,0,353783484,0,1,2,04/07/23
Beirut Governorate,1,1,0,353783484,0,1,1,04/07/23
British Columbia,23,24,0,353783484,0,0.615384615,16,04/07/23
Cairo Governorate,2,2,0,353783484,0,1,2,04/07/23
California,13,13,0,353783484,0,0.769230769,10,04/07/23
Casablanca-Settat,1,1,0,353783484,0,0.5,1,04/07/23
Center District,1,1,0,353783484,0,1,1,04/07/23
Central Visayas,1,1,0,353783484,0,0,0,04/07/23
Colorado,4,4,0,353783484,0,1,4,04/07/23
Connecticut,1,1,0,353783484,0,1,1,04/07/23
County Dublin,2,2,0,353783484,0,1,2,04/07/23
Delhi,1,1,0,353783484,0,1,1,04/07/23
England,22,23,0,353783484,0,0.653846154,17,04/07/23
Evora District,1,1,0,353783484,0,1,1,04/07/23
Florida,6,7,0,353783484,0,0.714285714,5,04/07/23
Georgia,7,9,0,353783484,0,0.555555556,5,04/07/23
Greater Accra Region,1,1,0,353783484,0,1,1,04/07/23
Gujarat,3,4,0,353783484,0,0.25,1,04/07/23
Halland County,1,1,0,353783484,0,0,0,04/07/23
Haryana,1,1,0,353783484,0,0,0,04/07/23
Hawaii,1,1,0,353783484,0,0,0,04/07/23
Hessen,1,1,0,353783484,0,0.5,1,04/07/23
Illinois,4,4,0,353783484,0,0.5,2,04/07/23
Indiana,3,3,0,353783484,0,1,3,04/07/23
Iowa,2,3,0,353783484,0,0.333333333,1,04/07/23
Kansas,2,2,0,353783484,0,0.5,1,04/07/23
Karnataka,2,2,0,353783484,0,0,0,04/07/23
Kentucky,2,2,0,353783484,0,1,2,04/07/23
Lesser Poland Voivodeship,1,1,0,353783484,0,1,1,04/07/23
Lombardy,1,1,0,353783484,0,0,0,04/07/23
Louisiana,1,1,0,353783484,0,0,0,04/07/23
Maine,2,2,0,353783484,0,1,2,04/07/23
Manawatu-Wanganui,1,1,0,353783484,0,0,0,04/07/23
Manitoba,5,5,0,353783484,0,1,5,04/07/23
Maryland,3,3,0,353783484,0,1,3,04/07/23
Massachusetts,2,2,0,353783484,0,1,3,04/07/23
Metro Manila,1,1,0,353783484,0,1,1,04/07/23
Michigan,1,1,0,353783484,0,1,1,04/07/23
Minnesota,1,1,0,353783484,0,0,0,04/07/23
Mississippi,1,1,0,353783484,0,1,1,04/07/23
Missouri,2,2,0,353783484,0,1,2,04/07/23
Montana,1,1,0,353783484,0,0,0,04/07/23
Nebraska,1,1,0,353783484,0,0,0,04/07/23
New Brunswick,2,2,0,353783484,0,0.5,1,04/07/23
New Hampshire,1,1,0,353783484,0,0,0,04/07/23
New Mexico,2,2,0,353783484,0,0.5,1,04/07/23
New South Wales,1,1,0,353783484,0,1,1,04/07/23
New York,7,7,0,353783484,0,0.571428571,4,04/07/23
Newfoundland and Labrador,1,1,0,353783484,0,1,1,04/07/23
North Carolina,6,8,0,353783484,0,0.125,1,04/07/23
Nova Scotia,4,5,0,353783484,0,0.4,2,04/07/23
Ohio,8,9,0,353783484,0,0.666666667,6,04/07/23
Oklahoma,2,2,0,353783484,0,0.5,1,04/07/23
Ontario,277,311,0,353783484,0,0.626062323,221,04/07/23
Oregon,2,2,0,353783484,0,1,2,04/07/23
Pennsylvania,4,4,0,353783484,0,1,4,04/07/23
Pichincha,1,1,0,353783484,0,0,0,04/07/23
Quebec,62,77,0,353783484,0,0.505747126,44,04/07/23
Queensland,2,2,0,353783484,0,1,2,04/07/23
Saskatchewan,1,1,0,353783484,0,1,1,04/07/23
Scotland,2,3,0,353783484,0,0.333333333,1,04/07/23
South Australia,1,1,0,353783484,0,0,0,04/07/23
South Carolina,3,3,0,353783484,0,0.333333333,1,04/07/23
South District,0,1,0,353783484,0,1,1,04/07/23
State of Sao Paulo,2,2,0,353783484,0,1,2,04/07/23
Tehran,1,1,0,353783484,0,0.5,1,04/07/23
Tennessee,2,2,0,353783484,0,0.666666667,2,04/07/23
Texas,5,5,0,353783484,0,0.4,2,04/07/23
Utah,1,1,0,353783484,0,0,0,04/07/23
Victoria,3,3,0,353783484,0,0.666666667,2,04/07/23
Virginia,9,10,0,353783484,0,0.25,3,04/07/23
Wales,3,3,0,353783484,0,0.333333333,1,04/07/23
Washington,3,4,0,353783484,0,0.25,1,04/07/23
West Bengal,5,6,0,353783484,0,0.666666667,6,04/07/23
West Virginia,2,2,0,353783484,0,1,2,04/07/23
Western Australia,2,2,0,353783484,0,1,2,04/07/23
Wisconsin,1,1,0,353783484,0,0,0,04/07/23
(not set),7,7,0,353783484,0,0.25,2,05/07/23
Alabama,2,2,0,353783484,0,1,2,05/07/23
Alberta,8,8,0,353783484,0,0.625,5,05/07/23
Arizona,4,4,0,353783484,0,0.75,3,05/07/23
Arkansas,2,3,0,353783484,0,0.333333333,1,05/07/23
Assam,1,1,0,353783484,0,0,0,05/07/23
Auckland,2,2,0,353783484,0,0.5,1,05/07/23
Auvergne-Rhone-Alpes,2,2,0,353783484,0,0,0,05/07/23
Bihar,1,1,0,353783484,0,0,0,05/07/23
British Columbia,21,22,0,353783484,0,0.782608696,18,05/07/23
California,10,10,0,353783484,0,0.272727273,3,05/07/23
City of Zagreb,1,1,0,353783484,0,1,1,05/07/23
Colorado,1,1,0,353783484,0,1,1,05/07/23
Connecticut,1,1,0,353783484,0,1,1,05/07/23
Delaware,1,1,0,353783484,0,0,0,05/07/23
District of Columbia,1,1,0,353783484,0,0,0,05/07/23
England,25,25,0,353783484,0,0.814814815,22,05/07/23
Evora District,0,1,0,353783484,0,1,1,05/07/23
Flanders,2,2,0,353783484,0,0.666666667,2,05/07/23
Florida,10,12,0,353783484,0,0.615384615,8,05/07/23
Gauteng,1,1,0,353783484,0,0,0,05/07/23
Gelderland,1,1,0,353783484,0,1,1,05/07/23
Georgia,11,11,0,353783484,0,0.545454545,6,05/07/23
Groningen,1,1,0,353783484,0,0,0,05/07/23
Gujarat,2,2,0,353783484,0,0.5,1,05/07/23
Hawaii,1,1,0,353783484,0,1,1,05/07/23
Illinois,7,7,0,353783484,0,0.714285714,5,05/07/23
Indiana,2,2,0,353783484,0,1,2,05/07/23
Iowa,3,3,0,353783484,0,0.666666667,2,05/07/23
Jurmala,1,1,0,353783484,0,0,0,05/07/23
Kansas,2,2,0,353783484,0,1,2,05/07/23
Karnataka,1,1,0,353783484,0,0,0,05/07/23
Kentucky,1,1,0,353783484,0,1,1,05/07/23
Lagos,1,1,0,353783484,0,1,1,05/07/23
Louisiana,1,1,0,353783484,0,1,1,05/07/23
Madrid,1,1,0,353783484,0,1,1,05/07/23
Maharashtra,1,1,0,353783484,0,1,1,05/07/23
Manitoba,5,6,0,353783484,0,0.666666667,4,05/07/23
Maryland,2,2,0,353783484,0,0.5,1,05/07/23
Massachusetts,2,2,0,353783484,0,0.5,1,05/07/23
Metro Manila,1,1,0,353783484,0,1,1,05/07/23
Michigan,3,4,0,353783484,0,0.25,1,05/07/23
Minnesota,2,2,0,353783484,0,1,2,05/07/23
Missouri,7,7,0,353783484,0,0.714285714,5,05/07/23
Montana,1,1,0,353783484,0,1,1,05/07/23
Nebraska,3,3,0,353783484,0,0.333333333,1,05/07/23
Nevada,1,1,0,353783484,0,0,0,05/07/23
New Brunswick,2,2,0,353783484,0,1,2,05/07/23
New Hampshire,3,3,0,353783484,0,1,3,05/07/23
New Jersey,4,4,0,353783484,0,0.5,2,05/07/23
New South Wales,5,5,0,353783484,0,1,5,05/07/23
New York,8,8,0,353783484,0,0.625,5,05/07/23
Newfoundland and Labrador,1,1,0,353783484,0,0.5,1,05/07/23
North Carolina,6,6,0,353783484,0,0.666666667,4,05/07/23
Nova Scotia,4,4,0,353783484,0,1,4,05/07/23
Odisha,1,1,0,353783484,0,0,0,05/07/23
Ohio,5,5,0,353783484,0,1,5,05/07/23
Oklahoma,1,1,0,353783484,0,0,0,05/07/23
Ontario,256,294,0,353783484,0,0.629850746,211,05/07/23
Oregon,2,3,0,353783484,0,0.333333333,1,05/07/23
Pennsylvania,3,3,0,353783484,0,0.333333333,1,05/07/23
Quebec,47,61,0,353783484,0,0.587301587,37,05/07/23
Queensland,1,1,0,353783484,0,1,1,05/07/23
Saskatchewan,2,2,0,353783484,0,1,2,05/07/23
Scotland,2,2,0,353783484,0,1,2,05/07/23
South Dakota,3,3,0,353783484,0,0.333333333,1,05/07/23
State of Sao Paulo,2,2,0,353783484,0,1,2,05/07/23
Telangana,3,3,0,353783484,0,0.333333333,1,05/07/23
Tennessee,5,5,0,353783484,0,0.8,4,05/07/23
Texas,4,5,0,353783484,0,0.142857143,1,05/07/23
Tokyo,1,1,0,353783484,0,1,1,05/07/23
Utah,1,1,0,353783484,0,1,1,05/07/23
Vestland,1,1,0,353783484,0,0,0,05/07/23
Victoria,5,5,0,353783484,0,0.333333333,2,05/07/23
Virginia,11,11,0,353783484,0,0.666666667,8,05/07/23
Wales,1,1,0,353783484,0,0,0,05/07/23
Washington,4,4,0,353783484,0,0.25,1,05/07/23
West Bengal,0,1,0,353783484,0,0.8,4,05/07/23
Western Cape,1,1,0,353783484,0,1,1,05/07/23
Wisconsin,3,3,0,353783484,0,0.5,2,05/07/23
(not set),8,8,0,353783484,0,0.375,3,06/07/23
Alabama,4,5,0,353783484,0,0.6,3,06/07/23
Alberta,12,12,0,353783484,0,0.916666667,11,06/07/23
Andalusia,1,1,0,353783484,0,1,1,06/07/23
Arizona,2,2,0,353783484,0,1,2,06/07/23
Arkansas,1,1,0,353783484,0,1,1,06/07/23
Assam,0,1,0,353783484,0,1,1,06/07/23
Auvergne-Rhone-Alpes,0,2,0,353783484,0,0,0,06/07/23
